Index,Avg Regret,Std Regret,Avg Edit Distance,Std Edit Distance
500,0.013808374416061291,0.010762541355094848,0.2,0.6000000000000001
1000,0.00920869673454651,0.00708322495261555,0.21,0.637102817447859
1500,0.008023421243000366,0.005996654585652007,0.2,0.6
2000,0.007022208742707276,0.004704109392811218,0.14,0.5102940328869229
2500,0.005249021637167872,0.00414606895822352,0.12,0.47497368348151664
3000,0.004913267217110363,0.0033957223737331693,0.04,0.27999999999999997
3500,0.004824738819646708,0.003457314559811852,0.12,0.47497368348151664
4000,0.005111055278075868,0.0036846164262388232,0.1,0.43588989435406733
4500,0.004918004084165395,0.0038551870855219267,0.11,0.487749935930288
5000,0.00448674652715848,0.0032160488192160028,0.08,0.39191835884530857
