Index,Avg Regret,Std Regret,Avg Edit Distance,Std Edit Distance
500,0.006679786654717721,0.005686972695770257,-1,-1
1000,0.00950387953753126,0.03645125253151129,-1,-1
1500,0.003731846496834327,0.002643808332481499,-1,-1
2000,0.0033391845247911483,0.002562414743074849,-1,-1
2500,0.0029847498636779855,0.002059671113480032,-1,-1
3000,0.00422719400542554,0.01015423903512336,-1,-1
3500,0.004148682659457151,0.017294267219378996,-1,-1
4000,0.005015345578366064,0.024217032592031878,-1,-1
4500,0.0038303427088306917,0.009488273425698428,-1,-1
5000,0.0023488179496018503,0.002740006602866822,-1,-1
